127.0.0.1 - - [12/Oct/2018:15:45:54 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:45:58 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:46:13 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:46:13 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:46:13 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:46:14 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:46:14 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:48:04 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4477
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:48:04 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:48:04 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:48:04 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:48:04 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:48:06 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:48:24 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:48:26 +0530] "GET /blogFrontend/addBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:15:48:31 +0530] "POST /blogmiddleware/sign-out HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:16:03:30 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:16:03:30 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2018:16:03:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Oct/2018:16:03:40 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [12/Oct/2018:16:04:01 +0530] "POST /blogmiddleware/sign-out HTTP/1.1" 200 -
