127.0.0.1 - - [26/Sep/2018:11:28:22 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:27 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:36 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4453
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:36 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:36 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:37 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:37 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:37 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:37 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:37 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:28:37 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:29:28 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:39 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:40 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:40 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:40 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:40 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:40 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:40 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:40 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:40 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:41 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:30:57 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:31:00 +0530] "GET /blogFrontend/addBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:31:05 +0530] "GET /blogFrontend/AddJob.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:11:31:56 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4453
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:45 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4453
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Sep/2018:12:23:46 +0530] "GET /blogFrontend/AddJob.html HTTP/1.1" 200 2445
