127.0.0.1 - - [11/Oct/2018:10:48:54 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:48:59 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:13 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:14 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:14 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:14 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:15 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:15 +0530] "GET /blogFrontend/accets/css/bootstrap-css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:16 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:16 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:16 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:16 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:49:21 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:05 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4320
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:06 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:06 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:06 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:06 +0530] "GET /blogFrontend/accets/css/bootstrap-css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:06 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:06 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:06 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:06 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:06 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:11 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:50:12 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:51:54 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [11/Oct/2018:10:52:04 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
