127.0.0.1 - - [20/Sep/2018:11:21:40 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:42 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:05 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:05 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:06 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:06 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:06 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:06 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:06 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:06 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:06 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:06 +0530] "GET /blogFrontend/home.html HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:52 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:52 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:52 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:52 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:52 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:52 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:52 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:52 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:55 +0530] "GET /blogFrontend/home.html HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:22:55 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:13 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:35 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:39 +0530] "GET /blogFrontend/addBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:28:36 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
