127.0.0.1 - - [15/Sep/2018:15:23:34 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:23:37 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:23:48 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:23:49 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:23:49 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:23:49 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:23:49 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:23:49 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:23:49 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:23:49 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:01 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:01 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:01 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:01 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:01 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:01 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:02 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:02 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:13 +0530] "GET /blogFrontend/ShowAllBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:16 +0530] "GET /blogmiddleware/getApproveBlog HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:19 +0530] "GET /blogmiddleware/getBlog/1 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:25:19 +0530] "GET /blogFrontend/showBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:03 +0530] "GET /blogmiddleware/getApproveBlog HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:04 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:04 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:04 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:04 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:04 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:04 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:04 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:04 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:47 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:56 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:56 +0530] "GET /blogFrontend/ShowAllBlog.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:27:56 +0530] "GET /blogmiddleware/getApproveBlog HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:00 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:00 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:00 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:00 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:00 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:00 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:00 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:00 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:01 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 206 666722
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:29 +0530] "GET /blogmiddleware/getApproveBlog HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:28:38 +0530] "GET /blogmiddleware/getBlog/1 HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:50:59 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:50:59 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1322082
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:50:59 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44927
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:50:59 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:50:59 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:50:59 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:50:59 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:50:59 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:50:59 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [15/Sep/2018:15:51:11 +0530] "GET /blogFrontend/showBlog.html HTTP/1.1" 200 411
