127.0.0.1 - - [17/Oct/2018:10:56:03 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:56:08 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:56:26 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4104
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:56:26 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:56:26 +0530] "GET /blogFrontend/accets/css/notification.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:56:27 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:56:27 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:56:27 +0530] "GET /blogFrontend/accets/controller/notificationController.js HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:56:27 +0530] "GET /blogFrontend/accets/controller/homeController.js HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:57:14 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4104
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:57:14 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:57:14 +0530] "GET /blogFrontend/accets/css/notification.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:57:15 +0530] "GET /blogFrontend/accets/controller/notificationController.js HTTP/1.1" 200 402
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:57:15 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:57:15 +0530] "GET /blogFrontend/accets/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:57:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:57:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:57:52 +0530] "POST /blogmiddleware/sign-in HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:58:32 +0530] "POST /blogmiddleware/createBlog HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [17/Oct/2018:10:58:49 +0530] "POST /blogmiddleware/createBlog HTTP/1.1" 200 39
