127.0.0.1 - - [15/Oct/2018:16:20:41 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:20:43 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:20:44 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:20:44 +0530] "GET /blogFrontend/accets/css/notification.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:20:44 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:06 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:06 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:06 +0530] "GET /blogFrontend/accets/css/bootstrap-css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:07 +0530] "GET /blogFrontend/accets/css/notification.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:07 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:07 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:10 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:11 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:16 +0530] "GET /blogFrontend/home.html HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:21:33 +0530] "GET /blogFrontend/accets/css/bootstrap-css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/ HTTP/1.1" 200 5650
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/css/bootstrap-css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/css/notification.css HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/js/popper.js HTTP/1.1" 200 84216
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/controller/homeController.js HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:32 +0530] "GET /blogFrontend/accets/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:33 +0530] "GET /blogFrontend/ HTTP/1.1" 200 5650
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:33 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:33 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [15/Oct/2018:16:24:33 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 200 9998
