127.0.0.1 - - [19/Sep/2018:11:15:42 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:44 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:53 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4453
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:53 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:54 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:54 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:54 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:54 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:54 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:54 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:15:55 +0530] "GET /blogFrontend/home.html HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:16:51 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4453
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:16:52 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:16:52 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:16:52 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:11:16:52 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
