127.0.0.1 - - [27/Sep/2018:12:07:22 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:24 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:43 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4511
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:43 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:44 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:44 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:44 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:44 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:44 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:44 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1963
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:44 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:07:44 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:01 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:02 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:02 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:02 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:02 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:02 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:02 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1963
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:02 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:04 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1963
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 1963
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Sep/2018:12:20:20 +0530] "GET /blogFrontend/ HTTP/1.1" 200 4404
