127.0.0.1 - - [06/Sep/2018:22:38:51 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Sep/2018:22:38:54 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [06/Sep/2018:22:39:48 +0530] "POST /blogmiddleware/createBlog HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [06/Sep/2018:22:45:30 +0530] "POST /blogmiddleware/createBlog HTTP/1.1" 500 16576
0:0:0:0:0:0:0:1 - - [06/Sep/2018:22:45:55 +0530] "GET /blogmiddleware/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [06/Sep/2018:22:47:02 +0530] "POST /blogmiddleware/createBlog HTTP/1.1" 500 16576
0:0:0:0:0:0:0:1 - - [06/Sep/2018:22:49:19 +0530] "POST /blogmiddleware/createBlog HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [06/Sep/2018:22:51:06 +0530] "POST /blogmiddleware/createBlog HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [06/Sep/2018:22:51:49 +0530] "POST /blogmiddleware/createBlog HTTP/1.1" 200 25
