127.0.0.1 - - [14/Oct/2018:21:35:19 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:23 +0530] "GET /blogFrontend/ HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:23 +0530] "GET /blogFrontend/accets/js/angular.js HTTP/1.1" 200 1289501
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/js/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/css/bootstrap-css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/css/notification.css HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/js/jquery.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/js/angular-cookies.js HTTP/1.1" 200 9998
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/controller/registerCtrl.js HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 200 2977
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:24 +0530] "GET /blogFrontend/accets/controller/addJob.js HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:26 +0530] "GET /blogFrontend/sign-in.html HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:46 +0530] "GET /blogFrontend/ HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:47 +0530] "GET /blogFrontend/accets/css/notification.css HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:47 +0530] "GET /blogFrontend/accets/controller/addBlog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:47 +0530] "GET /blogFrontend/accets/controller/userValidation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:47 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:35:56 +0530] "GET /blogFrontend/home.html HTTP/1.1" 200 4491
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:37:16 +0530] "GET /blogFrontend/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:37:17 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:37:18 +0530] "GET /blogFrontend/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:41:24 +0530] "GET /blogFrontend/accets/js/routing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2018:21:41:30 +0530] "GET /blogFrontend/home.html HTTP/1.1" 304 -
